Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Option 5,Correct Answer,Time in seconds,Image Link
“Dân chủ là dân là chủ và dân làm chủ” là quan điểm của,Multiple Choice,C. Mác.,Ph. Ăngghen.,V.I. Lênin,Hồ Chí Minh.,,4,30,
"Theo quan niệm từ thời cổ đại, dân chủ là",Multiple Choice,quyền bình đẳng tuyệt đối của con người.,quyền lực thuộc về nhân dân.,quyền lực thuộc về thiểu số người trong xã hội.,quyền tự do không giới hạn của mỗi người.,,2,30,
Quan niệm nào sau đây không đúng về dân chủ?,Multiple Choice,Dân chủ là quyền tự do tuyệt đối của con người.,Dân chủ là một trong những nguyên tắc tổ chức quản lí nhà nước.,Dân chủ là một giá trị chung của nhân loại.,Dân chủ là một hình thái nhà nước.,,1,30,
"Theo quan niệm của chủ nghĩa Mác - Lênin, dân chủ phản ánh cuộc đấu tranh của nhân dân lao động chống lại áp bức, cường quyền, vì thế dân chủ được coi là một",Multiple Choice,yếu tố xã hội.,giá trị xã hội.,tổ chức xã hội.,thành phần xã hội.,,2,30,
"""Quyền lực thuộc về nhân dân, nhân dân tự tổ chức và thực hiện trước hết và chủ yếu là thông qua nhà nước của mình"" là nội dung của khái niệm nào dưới đây?",Multiple Choice,Bình đẳng.,Hạnh phúc.,Dân chủ.,Tự do.,,3,30,
Nền dân chủ xuất hiện khi,Multiple Choice,Có xã hội loài người,Có nhà nước vô sản,Có nhà nước.,Có công cụ lao động,,3,30,
"Mức độ, phạm vi tham gia thật sự của quần chúng nhân dân vào công việc quản lí nhà nước phản ánh",Multiple Choice,cấu trúc của nền dân chủ.,trình độ phát triển của nền dân chủ.,quá trình đấu tranh giành dân chủ.,sự ra đời của nền dân chủ.,,2,30,
"Dân chủ có sự ra đời, tồn tại và phát triển trong một giai đoạn nhất định và sẽ mất đi khi trong xã hội không còn giai cấp, vì thế, dân chủ là một",Multiple Choice,yếu tố văn hóa.,thành phần của xã hội.,phạm trù giai cấp.,phạm trù lịch sử.,,4,30,
"Trên phương diện quyền lực, dân chủ là",Multiple Choice,một hình thức hay hình thái nhà nước.,một nguyên tắc - nguyên tắc dân chủ.,quyền lực thuộc về nhân dân.,"một quan niệm - quan niệm về dân chủ, về tinh thần dân chủ.",,3,30,
"Trên phương diện chế độ xã hội và trong lĩnh vực chính trị, dân chủ là",Multiple Choice,một hình thức hay hình thái nhà nước.,quyền lực thuộc về nhân dân.,một nguyên tắc - nguyên tắc dân chủ.,"một quan niệm - quan niệm về dân chủ, về tinh thần dân chủ.",,1,30,
"Trên phương diện tư tưởng, dân chủ là",Multiple Choice,quyền lực thuộc về nhân dân.,một hình thức hay hình thái nhà nước.,"một quan niệm - quan niệm về dân chủ, về tinh thần dân chủ.",một nguyên tắc - nguyên tắc dân chủ.,,3,30,
"Trên phương diện tổ chức và quản lí xã hội, dân chủ là",Multiple Choice,quyền lực thuộc về nhân dân.,một nguyên tắc - nguyên tắc dân chủ.,một hình thức hay hình thái nhà nước.,"một quan niệm - quan niệm về dân chủ, về tinh thần dân chủ.",,2,30,
"Câu nói: ""Chế độ ta là chế độ dân chủ, tức là nhân dân là người chủ, mà chính phủ là người đầy tớ trung thành của nhân dân"" là của ai?",Multiple Choice,Hồ Chí Minh.,Võ Nguyên Giáp.,Phạm Văn Đồng.,Nguyễn Phú Trọng.,,1,30,
"Điền từ ngữ thích hợp vào chỗ trống để hoàn thiện khẳng định sau của Đảng Cộng sản Việt Nam: ""Trong toàn bộ hoạt động của mình, Đảng phải quán triệt tư tưởng ....., xây dựng và phát huy quyền làm chủ của nhân dân lao động"".",Multiple Choice,lấy dân làm nền tảng.,lấy dân làm đích.,lấy dân làm chỗ dựa.,lấy dân làm gốc.,,4,30,
Trong chế độ cộng sản nguyên thuỷ đã xuất hiện hình thức manh nha của dân chủ mà Ph. Ăngghen gọi là,Multiple Choice,dân chủ công xã.,dân chủ sơ khai.,dân chủ nguyên thuỷ.,dân chủ cộng sản.,,3,30,
"Với tư cách là một hình thái nhà nước, một chế độ chính trị, lịch sử nhân loại có ba nền dân chủ là",Multiple Choice,"dân chủ chủ nô, dân chủ phong kiến và dân chủ tư sản.","dân chủ chủ nô, dân chủ tư sản và dân chủ xã hội chủ nghĩa.","dân chủ nguyên thuỷ, dân chủ phong kiến và dân chủ tư sản.","dân chủ nguyên thuỷ, dân chủ tư sản và dân chủ xã hội chủ nghĩa.",,2,30,
Hình thái kinh tế - xã hội nào dưới đây không có nền dân chủ?,Multiple Choice,Phong kiến.,Chiếm hữu nô lệ.,Tư bản chủ nghĩa.,Cộng sản chủ nghĩa.,,1,30,
Nền dân chủ nào dưới đây là nền dân chủ rộng rãi nhất trong lịch sử?,Multiple Choice,Dân chủ cộng sản nguyên thuỷ.,Dân chủ chủ nô.,Dân chủ tư sản.,Dân chủ xã hội chủ nghĩa.,,4,30,
