Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Option 5,Correct Answer,Time in seconds,Image Link
Gia đình được hình thành bởi hai mối quan hệ cơ bản là,Multiple Choice,quan hệ hôn nhân và quan hệ huyết thống.,quan hệ họ hàng và quan hệ huyết thống.,quan hệ hôn nhân và quan hệ họ hàng.,quan hệ huyết thống và quan hệ xã hội.,,1,30,
"Quan hệ nền tảng hình thành nên các mối quan hệ khác trong gia đình, là cơ sở pháp lí cho sự tồn tại của mỗi gia đình là quan hệ",Multiple Choice,hôn nhân.,huyết thống.,họ hàng.,xã hội.,,1,30,
"Quan hệ giữa những người có cùng một dòng máu, nảy sinh từ quan hệ hôn nhân là quan hệ",Multiple Choice,họ hàng.,huyết thống.,nội tộc.,gia đình.,,2,30,
"Mối quan hệ tự nhiên, là yếu tố mạnh mẽ nhất gắn kết các thành viên trong gia đình với nhau là quan hệ",Multiple Choice,tình cảm.,huyết thống.,kinh tế.,hôn nhân.,,2,30,
Quan hệ hôn nhân còn được gọi là quan hệ giữa,Multiple Choice,hai gia đình nhà trai và nhà gái.,vợ và chồng.,những người được pháp luật thừa nhận.,những người cùng chung sống trong một gia đình.,,2,30,
Quan hệ huyết thống trong gia đình chính là quan hệ giữa,Multiple Choice,những người có họ hàng với nhau.,những người chung một dòng họ.,cha mẹ và con cái.,những người trong một gia đình.,,3,30,
"Nghĩa vụ, quyền lợi và trách nhiệm của mỗi thành viên trong gia đình được quy định bởi",Multiple Choice,đạo đức xã hội.,pháp luật của mỗi quốc gia.,pháp lí và đạo lí.,nền nếp gia đình.,,2,30,
Quan hệ giữa cha mẹ nuôi với con nuôi chỉ được pháp luật công nhận khi,Multiple Choice,công bố rộng rãi với mọi người xung quanh.,"đã làm lễ gia tiên, báo cáo với họ hàng.",có đầy đủ thủ tục pháp lí.,cả hai bên cha mẹ nuôi và con nuôi có nhu cầu sống cùng nhau.,,3,30,
"Một cộng đồng người sống chung trong một không gian xác định, thường được sử dụng ở góc độ quản lí nhân khẩu là nội dung thể hiện khái niệm",Multiple Choice,gia đình.,dòng tộc.,dân tộc.,hộ gia đình.,,4,30,
Gia đình tập thể là hình thức gia đình tồn tại trong hình thái kinh tế - xã hội,Multiple Choice,phong kiến.,tư bản.,cộng sản chủ nghĩa.,công xã nguyên thuỷ.,,4,30,
"Gia đình mà những người chồng sống theo chế độ nhiều vợ, và vợ của họ cũng sống theo chế độ nhiều chồng, con cái là con chung của cả hai bên là đặc trưng của",Multiple Choice,gia đình hạt nhân.,gia đình nhiều thế hệ.,gia đình cá thể.,gia đình tập thể.,,4,30,
"Trong hình thức gia đình tập thể, việc xác định dòng dõi chủ yếu dựa vào",Multiple Choice,huyết thống của bố.,huyết thống của cả bố và mẹ.,huyết thống của tất cả những người bố và tất cả những người mẹ trong gia đình.,huyết thống của mẹ.,,4,30,
Quyền thừa kế tài sản trong gia đình tập thể căn cứ vào huyết thống của người mẹ vì,Multiple Choice,không biết chính xác ai là cha đẻ của đứa con.,mẹ là người sinh ra con cái.,người phụ nữ có địa cao nhất trong gia đình.,người phụ nữ rất được tôn trọng.,,1,30,
Đặc điểm nổi bật của gia đình tập thể là,Multiple Choice,"mẫu quyền, dựa trên cơ sở kinh tế tập thể - kinh tế gia đình cộng sản.","phụ quyền, dựa trên cơ sở kinh tế tập thể - kinh tế gia đình cộng sản.","phụ quyền, dựa trên cơ sở kinh tế tư nhân.","mẫu quyền, dựa trên cơ sở kinh tế cá nhân.",,1,30,
Sự xuất hiện của chế độ tư hữu và lao động của nam giới ngày càng được đề cao trong xã hội là nguyên nhân dẫn tới,Multiple Choice,gia đình tập thể.,gia đình cá thể.,gia đình nhiều thế hệ.,gia đình hai thế hệ.,,2,30,
"Theo quan điểm của C. Mác, Ph. Ăngghen: Gia đình một vợ một chồng dựa trên quyền thống trị của người chồng, nhằm chủ đích là làm cho con cái sinh ra phải có cha đẻ rõ ràng không ai tranh cãi được, và sự rõ ràng ấy là cần thiết, vì những người con đó sau này sẽ được hưởng tài sản của cha với tư cách là",Multiple Choice,người con chính thống.,người thừa kế trực tiếp.,người con nối dõi.,người thừa kế gián tiếp.,,2,30,
Nội dung nào dưới đây không phản ánh đúng vị trí của gia đình trong xã hội?,Multiple Choice,Gia đình là tế bào của xã hội.,Gia đình là tổ ấm của mỗi thành viên.,Gia đình là bộ phận của làng xã.,Gia đình là cầu nối giữa cá nhân với xã hội.,,3,30,
Nhận định nào dưới đây thể hiện đúng nhất vị trí của gia đình đối với sự vận động và phát triển của xã hội?,Multiple Choice,"Gia đình có vai trò quan trọng đối với sự tồn tại, vận động và phát triển của xã hội.","Gia đình có vai trò không nhỏ đối với sự tồn tại, vận động và phát triển của xã hội.","Gia đình có vai trò quyết định đối với sự tồn tại, vận động và phát triển của xã hội.","Gia đình có vai trò nhất định đối với sự tồn tại, vận động và phát triển của xã hội.",,1,30,
Gia đình không chỉ sản xuất ra tư liệu sinh hoạt mà còn sản xuất ra,Multiple Choice,bản thân con người.,các mối quan hệ xã hội.,các giá trị kinh tế.,các giá trị tinh thần.,,1,30,
"Gia đình như một tế bào tự nhiên, là một đơn vị cơ sở để tạo nên cơ thể - xã hội vì",Multiple Choice,"gia đình sản xuất ra tư liệu tiêu dùng, tư liệu sản xuất và các mối quan hệ xã hội khác.","gia đình sản xuất ra tư liệu sản xuất, tái sản xuất ra con người và các mối quan hệ xã hội khác.",gia đình tái sản xuất ra con người và các mối quan hệ xã hội.,"gia đình sản xuất ra tư liệu tiêu dùng, tư liệu sản xuất, tái sản xuất ra con người.",,4,30,
Chủ tịch Hồ Chí Minh đã từng khẳng định: Hạt nhân của xã hội chính là,Multiple Choice,các thành viên trong gia đình.,gia đình.,các hộ gia đình.,hộ gia đình.,,2,30,
"Môi trường tốt nhất để mỗi cá nhân được yêu thương, nuôi dưỡng, chăm sóc, trưởng thành, phát triển là",Multiple Choice,gia đình.,nhà trường.,dòng họ.,làng xóm.,,1,30,
Cộng đồng xã hội đầu tiên đáp ứng nhu cầu quan hệ xã hội của mỗi cá nhân là,Multiple Choice,làng xóm.,gia đình.,trường học.,họ hàng.,,2,30,
Nội dung nào dưới đây không là chức năng cơ bản của gia đình?,Multiple Choice,Xây dựng quy định của địa phương.,Tái sản xuất ra con người.,"Nuôi dưỡng, giáo dục.",Kinh tế và tổ chức tiêu dùng.,,1,30,
"Chức năng đặc thù của gia đình, không một cộng đồng nào có thể thay thế là",Multiple Choice,"nuôi dưỡng, giáo dục.",kinh tế và tổ chức tiêu dùng.,tái sản xuất ra con người.,"thoả mãn nhu cầu tâm - sinh lí, duy trì tình cảm.",,3,30,
"Không chỉ đáp ứng nhu cầu tâm - sinh lí tự nhiên của con người, đáp ứng nhu cầu nòi giống của gia đình, dòng họ mà còn đáp ứng nhu cầu về sức lao động và duy trì sự trường tồn của xã hội là nội dung thể hiện chức năng nào của gia đình?",Multiple Choice,"Thoả mãn nhu cầu tâm - sinh lí, duy trì tình cảm gia đình.",Kinh tế và tổ chức tiêu dùng.,"Nuôi dưỡng, giáo dục.",Tái sản xuất ra con người.,,4,30,
