Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Option 5,Correct Answer,Time in seconds,Image Link
Chủ nghĩa xã hội khoa học là một trong ba bộ phận cấu thành của,Multiple Choice,triết học Mác - Lênin.,kinh tế chính trị Mác - Lênin.,chủ nghĩa Mác - Lênin.,chủ nghĩa xã hội không tưởng.,,3,30,
"Chủ nghĩa Mác - Lênin gồm ba bộ phận cấu thành là: triết học Mác - Lênin, kinh tế chính trị Mác - Lênin và",Multiple Choice,mĩ học Mác - Lênin.,đạo đức học Mác - Lênin.,chủ nghĩa xã hội không tưởng,chủ nghĩa xã hội khoa học.,,4,30,
Thành phần nào dưới đây không phải là một trong ba bộ phận cấu thành của chủ nghĩa Mác - Lênin?,Multiple Choice,Triết học Mác - Lênin.,Chủ nghĩa xã hội hiện thực.,Kinh tế chính trị Mác - Lênin.,Chủ nghĩa xã hội khoa học.,,2,30,
Thành phần nào dưới đây không phải là một trong ba phát kiến vĩ đại của chủ nghĩa Mác - Lênin?,Multiple Choice,Chủ nghĩa duy vật lịch sử.,Chủ nghĩa duy vật biện chứng.,Học thuyết giá trị thặng dư.,Học thuyết về sứ mệnh lịch sử thế giới của giai cấp công nhân.,,2,30,
Nội dung nào dưới đây là phát kiến vĩ đại của C. Mác và Ph. Ăngghen trong triết học Mác - Lênin?,Multiple Choice,Học thuyết giá trị thặng dư.,Chủ nghĩa duy vật biện chứng.,Học thuyết về sứ mệnh lịch sử thế giới của giai cấp công nhân.,Chủ nghĩa duy vật lịch sử.,,4,30,
Nội dung nào dưới đây là phát kiến vĩ đại của C. Mác và Ph. Ăngghen trong kinh tế chính trị Mác - Lênin?,Multiple Choice,Chủ nghĩa duy vật lịch sử.,Chủ nghĩa duy vật biện chứng.,Học thuyết về sứ mệnh lịch sử thế giới của giai cấp công nhân.,Học thuyết giá trị thặng dư.,,4,30,
Nội dung nào dưới đây là phát kiến vĩ đại của C. Mác và Ph. Ăngghen trong chủ nghĩa xã hội khoa học?,Multiple Choice,Học thuyết về sứ mệnh lịch sử thế giới của giai cấp công nhân.,Chủ nghĩa duy vật lịch sử.,Học thuyết giá trị thặng dư.,Chủ nghĩa duy vật biện chứng.,,1,30,
Chủ nghĩa duy vật lịch sử là phát kiến vĩ đại của C. Mác và Ph. Ăngghen trong,Multiple Choice,kinh tế chính trị Mác - Lênin.,chủ nghĩa xã hội khoa học.,triết học Mác - Lênin.,chủ nghĩa xã hội hiện thực.,,3,30,
Học thuyết giá trị thặng dư là phát kiến vĩ đại của C. Mác và Ph. Ăngghen trong,Multiple Choice,triết học Mác - Lênin.,chủ nghĩa xã hội khoa học.,kinh tế chính trị Mác - Lênin.,chủ nghĩa xã hội hiện thực.,,3,30,
Học thuyết về sứ mệnh lịch sử thế giới của giai cấp công nhân là phát kiến vĩ đại của C. Mác và Ph. Ăngghen trong,Multiple Choice,chủ nghĩa xã hội khoa học.,triết học Mác - Lênin.,kinh tế chính trị Mác - Lênin.,chủ nghĩa xã hội hiện thực.,,1,30,
Nội dung nào dưới đây không phải là điều kiện kinh tế - xã hội cho sự ra đời của chủ nghĩa xã hội khoa học?,Multiple Choice,Cách mạng công nghiệp tạo ra sự phát triển mạnh mẽ cho nền đại công nghiệp.,Mâu thuẫn giữa lực lượng sản xuất mang tính xã hội hóa với quan hệ sản xuất dựa trên chế độ chiếm hữu tư nhân tư bản chủ nghĩa.,Mâu thuẫn giữa giai cấp công nhân với giai cấp tư sản biểu hiện qua các cuộc đấu tranh của giai cấp công nhân.,Chủ nghĩa xã hội không tưởng Pháp thế kỉ XIX.,,4,30,
Phong trào đấu tranh nào dưới đây không phải là hoàn cảnh lịch sử cho sự ra đời của chủ nghĩa xã hội khoa học?,Multiple Choice,"Phong trào Công nhân dệt ở thành phố Xiledi, Đức.",Phong trào Hiến chương của người lao động ở Anh.,"Phong trào Công nhân New York, Mỹ.","Phong trào Công nhân dệt thành phố Lyon, Pháp.",,3,30,
