Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Option 5,Correct Answer,Time in seconds,Image Link
"Nội dung nào dưới đây là phạm trù trung tâm, là nguyên lí xuất phát của chủ nghĩa xã hội khoa học?",Multiple Choice,Chủ nghĩa xã hội và thời kì quá độ lên chủ nghĩa xã hội.,Dân chủ xã hội chủ nghĩa và nhà nước xã hội chủ nghĩa.,Sứ mệnh lịch sử thế giới của giai cấp công nhân.,Vấn đề dân tộc trong thời kì quá độ lên chủ nghĩa xã hội.,,3,30,
Giai cấp nào dưới đây là con đẻ của nền đại công nghiệp tư bản chủ nghĩa?,Multiple Choice,Giai cấp tư sản.,Giai cấp công nhân.,Giai cấp địa chủ.,Giai cấp nông dân.,,2,30,
Lao động trực tiếp hoặc gián tiếp vận hành các công cụ sản xuất có tính chất công nghiệp ngày càng hiện đại và xã hội hóa cao là nội dung thể hiện,Multiple Choice,công cụ lao động của người công nhân.,phương thức lao động của người công nhân.,vị trí trong quan hệ sản xuất tư bản chủ nghĩa của người công nhân.,địa vị xã hội của người công nhân.,,2,30,
"Về vị trí trong quan hệ sản xuất tư bản chủ nghĩa, công nhân là những người lao động",Multiple Choice,không sở hữu tư liệu sản xuất chủ yếu của xã hội.,có sở hữu tư liệu sản xuất là sức lao động.,có sở hữu tư liệu sản xuất là kinh nghiệm cá nhân.,không sở hữu bất cứ tư liệu sản xuất nào của xã hội.,,1,30,
"""Các giai cấp khác đều suy tàn và tiêu vong cùng với sự phát triển của đại công nghiệp, còn giai cấp vô sản là sản phẩm của bản thân nền đại công nghiệp"" là luận điểm của",Multiple Choice,C. Mác và Ph. Ăngghen.,C. Mác.,Ph. Ăngghen.,V.I. Lênin.,,1,30,
"Giai cấp, tầng lớp nào dưới đây không sở hữu tư liệu sản xuất chủ yếu, phải bán sức lao động cho nhà tư bản và bị nhà tư bản bóc lột giá trị thặng dư?",Multiple Choice,Trí thức.,Doanh nhân.,Tiểu tư sản.,Công nhân.,,4,30,
"Giai cấp, tầng lớp nào dưới đây chỉ có thể sống với điều kiện là kiếm được việc làm và chỉ kiếm được việc làm nếu lao động của họ làm tăng thêm tư bản?",Multiple Choice,Nông dân.,Địa chủ.,Công nhân.,Tư sản.,,3,30,
"Lực lượng nào dưới đây buộc phải tự bán mình để kiếm ăn từng bữa, là một hàng hóa, tức là một món hàng đem bán như bất cứ món hàng nào khác, vì thế, họ phải chịu hết mọi sự may rủi của cạnh tranh, mọi sự lên xuống của thị trường?",Multiple Choice,Nông dân.,Người làm nghề tự do.,Công nhân.,Tiểu tư sản.,,3,30,
Nội dung nào dưới đây là nguồn gốc cơ bản của giá trị thặng dư và sự giàu có của giai cấp tư sản?,Multiple Choice,Lao động sống của giai cấp công nhân.,"Quá trình trao đổi, mua bán.",Hoạt động thương mại.,Kinh tế thị trường.,,1,30,
Giai cấp công nhân lao động bằng phương thức công nghiệp với đặc trưng công cụ lao động là,Multiple Choice,ruộng đất.,"con trâu, cái cày.",máy móc có tính chất công nghiệp.,trí óc.,,3,30,
"Giai cấp nào dưới đây là sản phẩm của bản thân nền đại công nghiệp, là chủ thể của quá trình sản xuất vật chất hiện đại?",Multiple Choice,Giai cấp chủ nô.,Giai cấp địa chủ.,Giai cấp tư sản.,Giai cấp công nhân.,,4,30,
"Lực lượng nào dưới đây là đại biểu cho lực lượng sản xuất tiên tiến, cho phương thức sản xuất tiên tiến, quyết định sự tồn tại và phát triển của xã hội hiện đại?",Multiple Choice,Giai cấp nông dân.,Đội ngũ trí thức.,Giai cấp tư sản.,Giai cấp công nhân.,,4,30,
"Nền sản xuất đại công nghiệp và phương thức sản xuất tiên tiến đã rèn luyện cho giai cấp công nhân những phẩm chất đặc biệt về tính tổ chức, kỉ luật lao động, tinh thần hợp tác và",Multiple Choice,tâm lí lao động công nghiệp.,tác phong nông nghiệp.,tâm lí lao động nông nghiệp.,tâm lí lao động tự do.,,1,30,
Mâu thuẫn giữa lực lượng sản xuất mang tính xã hội hóa ngày càng cao với quan hệ sản xuất dựa trên chế độ chiếm hữu tư nhân tư bản chủ nghĩa về tư liệu sản xuất chủ yếu là mâu thuẫn cơ bản của phương thức sản xuất nào dưới đây?,Multiple Choice,Chiếm hữu nô lệ.,Phong kiến.,Tư bản chủ nghĩa.,Cộng sản chủ nghĩa.,,3,30,
Biểu hiện về mặt xã hội của mâu thuẫn cơ bản trong phương thức sản xuất tư bản chủ nghĩa là mâu thuẫn giữa,Multiple Choice,tư bản và lao động.,lực lượng sản xuất và quan hệ sản xuất.,giai cấp công nhân và giai cấp tư sản.,các tập đoàn tư bản.,,3,30,
Mâu thuẫn giữa giai cấp công nhân và giai cấp tư sản là mâu thuẫn,Multiple Choice,đối kháng trực tiếp về lợi ích.,không đối kháng về lợi ích.,về lợi ích không cơ bản.,đối kháng gián tiếp về lợi ích.,,1,30,
