Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Option 5,Correct Answer,Time in seconds,Image Link
Những cộng đồng người cùng toàn bộ những mối quan hệ xã hội do sự tác động lẫn nhau của các cộng đồng ấy tạo nên là nội dung thể hiện khái niệm nào dưới đây?,Multiple Choice,Dân tộc.,Dân cư.,Cơ cấu xã hội.,Cộng đồng.,,3,30,
"Tập hợp những cộng đồng người hình thành, phát triển theo các nghề nghiệp khác nhau là kết quả của sự phát triển sản xuất, phân công lao động là nội dung thể hiện khái niệm nào dưới đây?",Multiple Choice,Cơ cấu xã hội - kinh tế.,Cơ cấu xã hội - nghề nghiệp.,Cơ cấu xã hội - nhân khẩu.,Cơ cấu xã hội - dân cư.,,2,30,
"Tập hợp những cộng đồng người có cùng đức tin tôn giáo dựa trên nền tảng giáo lí, giáo luật và thực hành các nghi lễ tôn giáo là",Multiple Choice,Cơ cấu xã hội - tôn giáo.,Cơ cấu xã hội - kinh tế.,Cơ cấu xã hội - nhân khẩu.,Cơ cấu xã hội - dân cư.,,1,30,
"Tập hợp những cộng đồng người được hình thành lâu dài trong lịch sử và tương đối ổn định, gắn kết chặt chẽ với nhau về kinh tế, lãnh thổ, văn hóa, ngôn ngữ là nội dung thể hiện khái niệm nào dưới đây?",Multiple Choice,Cơ cấu xã hội - dân tộc.,Cơ cấu xã hội - kinh tế.,Cơ cấu xã hội - nghề nghiệp.,Cơ cấu xã hội - nhân khẩu.,,1,30,
"Bộ phận cơ bản và quan trọng nhất trong cơ cấu xã hội, liên quan trực tiếp đến các đảng phái chính trị, nhà nước, sở hữu tư liệu sản xuất cũng như địa vị xã hội của con người trong hệ thống sản xuất, tổ chức lao động và phân phối lợi ích xã hội là",Multiple Choice,Cơ cấu xã hội - nghề nghiệp.,Cơ cấu xã hội - nhân khẩu.,Cơ cấu xã hội - dân tộc.,Cơ cấu xã hội - giai cấp.,,4,30,
"Để dự báo xu hướng vận động và phát triển của dân số ở những giai đoạn lịch sử nhất định và tác động của nó đến sự phát triển mọi mặt của một quốc gia, cần nghiên cứu cơ cấu xã hội nào dưới đây?",Multiple Choice,Cơ cấu xã hội - dân số.,Cơ cấu xã hội - nghề nghiệp.,Cơ cấu xã hội - tôn giáo.,Cơ cấu xã hội - dân tộc.,,1,30,
"Trong xã hội có giai cấp, cơ cấu nào dưới đây có vị trí quyết định nhất, chi phối các loại hình cơ cấu xã hội khác?",Multiple Choice,Cơ cấu xã hội - nghề nghiệp.,Cơ cấu xã hội - dân số.,Cơ cấu xã hội - giai cấp.,Cơ cấu xã hội - dân tộc.,,3,30,
"Tổng thể các giai cấp, tầng lớp xã hội tồn tại khách quan trong một chế độ xã hội nhất định, thông qua những mối quan hệ về sở hữu tư liệu sản xuất, về tổ chức quản lí quá trình sản xuất, về địa vị chính trị - xã hội,... giữa các giai cấp và tầng lớp, đó là nội dung thể hiện khái niệm nào dưới đây?",Multiple Choice,Cơ cấu xã hội - kinh tế.,Cơ cấu xã hội - giai cấp.,Cơ cấu xã hội - nghề nghiệp.,Cơ cấu xã hội - nhân khẩu.,,2,30,
"Cơ cấu xã hội nào dưới đây đề cập tới mối quan hệ về sở hữu tư liệu sản xuất, về tổ chức quản lí, về địa vị chính trị - xã hội?",Multiple Choice,Cơ cấu xã hội - nghề nghiệp.,Cơ cấu xã hội - giai cấp.,Cơ cấu xã hội - dân cư.,Cơ cấu xã hội - tôn giáo.,,2,30,
"Để xây dựng chính sách phát triển kinh tế, văn hóa, xã hội phù hợp cho từng giai cấp, tầng lớp trong từng giai đoạn lịch sử cụ thể cần căn cứ vào",Multiple Choice,Cơ cấu xã hội - giai cấp.,Cơ cấu xã hội - nghề nghiệp.,Cơ cấu xã hội - dân cư.,Cơ cấu xã hội - tôn giáo.,,1,30,
Nội dung nào dưới đây không phải là sự biến đổi có tính quy luật của cơ cấu xã hội - giai cấp trong thời kì quá độ lên chủ nghĩa xã hội?,Multiple Choice,Cơ cấu xã hội - giai cấp biến đổi gắn liền và bị quy định bởi cơ cấu kinh tế.,"Cơ cấu xã hội - giai cấp biến đổi phức tạp, đa dạng, làm xuất hiện các tầng lớp xã hội mới.","Cơ cấu xã hội - giai cấp biến đổi trong mối quan hệ vừa đấu tranh, vừa liên minh, dẫn đến sự xích lại gần nhau giữa các giai tầng trong xã hội.","Cơ cấu xã hội - giai cấp biến đổi và chịu sự tác động của sự biến đổi dân số, tôn giáo.",,4,30,
"Thời kì quá độ lên chủ nghĩa xã hội có cơ cấu xã hội - giai cấp với nhiều giai cấp, tầng lớp khác nhau vì",Multiple Choice,tồn tại nhiều nghề nghiệp và phân công lao động khác nhau.,tồn tại nhiều đức tin tôn giáo.,tồn tại nhiều dân tộc khác nhau.,tồn tại nhiều hình thức sở hữu và nhiều thành phần kinh tế.,,4,30,
"Trong thời kì quá độ lên chủ nghĩa xã hội, giai cấp, tầng lớp nào dưới đây giữ vai trò chủ đạo trong cơ cấu xã hội - giai cấp?",Multiple Choice,Công nhân.,Nông dân.,Trí thức.,Doanh nhân.,,1,30,
"Sự liên kết, hợp tác, hỗ trợ nhau giữa các giai cấp, tầng lớp chủ yếu có lợi ích cơ bản thống nhất và cũng có thể có lợi ích cơ bản đối kháng là nội dung thể hiện khái niệm nào dưới đây",Multiple Choice,Đấu tranh giai cấp.,"Liên minh giai cấp, tầng lớp.","Liên hiệp giai cấp, tầng lớp.","Đoàn kết giai cấp, tầng lớp.",,2,30,
Sự biến đổi của cơ cấu xã hội - giai cấp gắn liền và được quy định bởi sự biến đổi của cơ cấu nào dưới đây?,Multiple Choice,Cơ cấu dân số.,Cơ cấu kinh tế.,Cơ cấu dân tộc.,Cơ cấu dân cư.,,2,30,
"“Trong thời đại chuyên chính vô sản, các giai cấp vẫn tồn tại, nhưng bộ mặt của mỗi một giai cấp đều có thay đổi, quan hệ qua lại giữa các giai cấp cũng biến đối. Cuộc đấu tranh giai cấp chưa chấm dứt dưới thời chuyên chính vô sản, nó chỉ diễn biến ra dưới những hình thức khác mà thôi” là câu nói của",Multiple Choice,C. Mác.,V.I. Lênin.,Ph. Ăngghen.,Hồ Chí Minh.,,2,30,
"Khi khẳng định “một hình thức đặc biệt của liên minh giai cấp giữa giai cấp vô sản, đội tiên phong của người lao động, với đông đảo những tầng lớp lao động không phải vô sản”, V.I. Lênin muốn nói đến khái niệm nào dưới đây?",Multiple Choice,Nhà nước.,Chuyên chính vô sản.,Hiệp hội.,Công đoàn.,,2,30,
"“Nếu không liên minh với nông dân thì không thể có được chính quyền của giai cấp vô sản, không thể nghĩ được đến việc duy trì chính quyền đó...” là câu nói của ai?",Multiple Choice,C. Mác.,V.I. Lênin.,Ph. Ăngghen.,Hồ Chí Minh.,,2,30,
"Giai cấp, tầng lớp nào dưới đây được coi là “người bạn đồng minh tự nhiên” của giai cấp công nhân?",Multiple Choice,Tư sản.,Trí thức.,Nông dân.,Doanh nhân.,,3,30,
"Trong luận điểm: “Trước sự liên minh của các đại biểu khoa học, giai cấp vô sản và giới kĩ thuật, không một thế lực đen tối nào đứng vũng được”, V.I. Lênin đã nhấn mạnh tới vai trò của giai cấp, tầng lớp nào dưới đây trong khối liên minh giai cấp?",Multiple Choice,Doanh nhân.,Trí thức.,Tư sản.,Nông dân.,,2,30,
"Theo V.I. Lênin, để giai cấp vô sản giữ được vai trò lãnh đạo và chính quyền nhà nước, nguyên tắc cao nhất của chuyên chính là duy trì khối liên minh giữa",Multiple Choice,giai cấp vô sản và tầng lớp doanh nhân.,giai cấp nông dân và giai cấp tư sản.,giai cấp vô sản và nông dân.,tầng lớp doanh nhân và đội ngũ trí thức.,,3,30,
"Trong quá trình xây dựng chủ nghĩa xã hội, liên minh giữa giai cấp công nhân, giai cấp nông dân và tầng lớp trí thức trong lĩnh vực nào dưới đây giữ vai trò quyết định?",Multiple Choice,Chính trị.,Văn hóa.,Kinh tế.,Tư tưởng.,,3,30,
"Yếu tố nào dưới đây quyết định sự liên minh giữa giai cấp công nhân, giai cấp nông dân và tầng lớp trí thức?",Multiple Choice,Mong muốn của giai cấp công nhân.,Cùng một kẻ thù là giai cấp tư sản.,Có nhũng lợi ích cơ bản thống nhất với nhau.,Mục tiêu về chính trị của giai cấp công nhân.,,3,30,
"Câu nói “Vô sản tất cả các nước và các dân tộc bị áp bức, đoàn kết lại” là của",Multiple Choice,C. Mác.,Ph.Ăngghen.,Hồ Chí Minh.,V.I. Lênin.,,4,30,
"Trong thời kì quá độ lên chủ nghĩa xã hội, các giai cấp, tầng lớp liên minh với nhau trên những lĩnh vực nào dưới đây?",Multiple Choice,"Kinh tế, chính trị, xã hội.","Kinh tế, chính trị, tôn giáo.","Kinh tế, văn hóa, xã hội.","Kinh tế, chính trị, văn hóa - xã hội.",,4,30,
Lực lượng nào dưới đây được Đảng ta coi là lực lượng đặc biệt và chủ trương xây dựng thành lực lượng vững mạnh trong giai đoạn hiện nay?,Multiple Choice,Doanh nhân.,Trí thức.,Thanh niên.,Công nhân.,,1,30,
"Trong thời kì quá độ lên chủ nghĩa xã hội, giai cấp, tầng lớp nào dưới đây có xu hướng giảm dần về số lượng và tỉ lệ trong cơ cấu xã hội giai cấp?",Multiple Choice,Nông dân.,Trí thức.,Công nhân.,Doanh nhân.,,1,30,
"Đảng ta xác định xây dựng vững mạnh giai cấp, tầng lớp nào dưới đây là trực tiếp nâng tầm trí tuệ của dân tộc, sức mạnh của đất nước, nâng cao năng lực lãnh đạo của Đảng và chất lượng hoạt động của hệ thống chính trị?",Multiple Choice,Trí thức.,Công nhân.,Doanh nhân.,Thanh niên.,,1,30,
"Giai cấp, tầng lớp nào dưới đây được coi là rường cột của nước nhà, chủ nhân tương lai của đất nước?",Multiple Choice,Thanh niên.,Phụ nữ.,Trí thức.,Doanh nhân.,,1,30,
"Xét dưới góc độ kinh tế, nội dung nào dưới đây không phải là nguyên nhân của liên minh giai cấp trong thời kì quá độ lên chủ nghĩa xã hội?",Multiple Choice,Yêu cầu khách quan của đấu tranh giành chính quyền.,"Yêu cầu khách quan của quá trình công nghiệp hóa, hiện đại hóa.",Sự chuyển dịch cơ cấu kinh tế.,"Nhu cầu lợi ích kinh tế của các giai cấp, tầng lóp.",,1,30,
"Sự biến đổi đa dạng, phức tạp của cơ cấu xã hội - giai cấp ở Việt Nam trong thời kì quá độ lên chủ nghĩa xã hội là do",Multiple Choice,chuyển đổi cơ chế kinh tế kế hoạch hóa tập trung sang kinh tế thị trường.,duy trì cơ chế kế hoạch hóa tập trung quan liêu bao cấp.,"sự đa dạng của văn hóa, tôn giáo, tín ngưỡng.",sự đa dạng về tộc người.,,1,30,
"Giai cấp, tầng lớp nào hiện nay không còn trong cơ cấu xã hội - giai cấp ở Việt Nam?",Multiple Choice,Nông dân.,Trí thức.,Địa chủ.,Công nhân.,,3,30,
Nội dung nào dưới đây không phải là vai trò của giai cấp công nhân trong thời kì quá độ lên chủ nghĩa xã hội ở Việt Nam?,Multiple Choice,Là giai cấp lãnh đạo.,Là giai cấp đại diện cho phương thức sản xuất mới.,Là lực lượng lao động sáng tạo đặc biệt.,Là lực lượng nòng cốt trong khối liên minh giai cấp.,,3,30,
"Trong thời kì quá độ lên chủ nghĩa xã hội ở Việt Nam, giai cấp, tầng lớp nào dưới đây được coi là lực lượng lao động sáng tạo đặc biệt quan trọng?",Multiple Choice,Nông dân.,Doanh nhân.,Trí thức.,Công nhân.,,3,30,
"Vấn đề liên minh giai cấp công nhân với giai cấp nông dân và đội ngũ trí thức, được Đảng ta khắng định lần đầu tiên tại",Multiple Choice,Đại hội đại biểu toàn quốc lần thứ III (1960).,Đại hội đại biểu toàn quốc lần thứ II (1951).,Đại hội đại biểu toàn quốc lần thứ IV (1976).,Đại hội đại biểu toàn quốc lần thứ V (1982).,,1,30,
"Hiện nay ở nước ta, giai cấp, tầng lớp nào dưới đây giữ vai trò lãnh đạo khối liên minh?",Multiple Choice,Doanh nhân.,Công nhân.,Trí thức.,Nông dân.,,2,30,
"Liên minh giữa các giai cấp, tầng lớp trong thời kì quá độ lên chủ nghĩa xã hội phải dựa trên lập trường tư tưởng - chính trị của giai cấp, tầng lớp nào dưới đây?",Multiple Choice,Công nhân.,Doanh nhân.,Trí thức.,Nông dân.,,1,30,
"Nội dung nào dưới đây không phải là nội dung chính trị của liên minh giai cấp, tầng lớp trong thời kì quá độ lên chủ nghĩa xã hội ở Việt Nam?",Multiple Choice,Giữ vững vai trò lãnh đạo của Đảng Cộng sản Việt Nam.,Tăng cường các hình thức giao lưu hợp tác liên kết giữa công nghiệp - nông nghiệp - khoa học công nghệ.,Bảo vệ vững chắc chế độ chính trị.,Xây dựng hoàn thiện nền dân chủ xã hội chủ nghĩa.,,2,30,
